<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.02.13	20:00:00	1.23534	1.23656	1.23446	1.23501	14059	0	1
2018.02.14	00:00:00	1.23497	1.23622	1.23472	1.23546	11002	0	1
2018.02.14	04:00:00	1.23545	1.23924	1.23541	1.23786	22642	0	1
2018.02.14	08:00:00	1.23786	1.23859	1.23506	1.23530	25354	0	1
2018.02.14	12:00:00	1.23530	1.23577	1.22758	1.23043	39872	0	1
2018.02.14	16:00:00	1.23043	1.24204	1.23011	1.24177	70983	0	1
2018.02.14	20:00:00	1.24177	1.24651	1.24163	1.24494	27785	0	1
2018.02.15	00:00:00	1.24491	1.24732	1.24480	1.24605	19299	0	1
2018.02.15	04:00:00	1.24606	1.24681	1.24521	1.24657	12887	0	1
2018.02.15	08:00:00	1.24657	1.25102	1.24605	1.24872	40144	0	1
2018.02.15	12:00:00	1.24871	1.24949	1.24611	1.24738	34405	0	1
2018.02.15	16:00:00	1.24738	1.25057	1.24571	1.24714	41723	0	1
2018.02.15	20:00:00	1.24715	1.25089	1.24704	1.25062	17215	0	1
2018.02.16	00:00:00	1.25062	1.25149	1.24965	1.25138	11555	0	1
2018.02.16	04:00:00	1.25138	1.25554	1.25071	1.25490	23613	0	1
2018.02.16	08:00:00	1.25489	1.25489	1.25233	1.25274	32862	0	1
2018.02.16	12:00:00	1.25275	1.25290	1.24498	1.24525	42126	0	1
2018.02.16	16:00:00	1.24526	1.24600	1.24290	1.24406	42326	0	1
2018.02.16	20:00:00	1.24405	1.24426	1.23934	1.24105	19426	0	1
2018.02.19	00:00:00	1.24008	1.24352	1.23977	1.24341	11954	0	1
2018.02.19	04:00:00	1.24338	1.24338	1.24042	1.24093	11292	0	1
2018.02.19	08:00:00	1.24091	1.24210	1.23875	1.24107	32485	0	1
2018.02.19	12:00:00	1.24106	1.24270	1.23703	1.23727	26124	0	1
2018.02.19	16:00:00	1.23727	1.24155	1.23691	1.24129	21000	0	1
2018.02.19	20:00:00	1.24128	1.24138	1.24042	1.24070	15166	0	1
2018.02.20	00:00:00	1.24068	1.24123	1.23851	1.23943	14617	0	1
2018.02.20	04:00:00	1.23944	1.23979	1.23793	1.23851	11864	0	1
2018.02.20	08:00:00	1.23849	1.23918	1.23430	1.23436	38968	0	1
2018.02.20	12:00:00	1.23437	1.23557	1.23196	1.23254	34706	0	1
2018.02.20	16:00:00	1.23253	1.23617	1.23227	1.23443	36844	0	1
2018.02.20	20:00:00	1.23444	1.23458	1.23300	1.23367	13083	0	1
2018.02.21	00:00:00	1.23367	1.23447	1.23286	1.23371	11458	0	1
2018.02.21	04:00:00	1.23374	1.23443	1.23169	1.23227	15013	0	1
2018.02.21	08:00:00	1.23227	1.23397	1.23075	1.23336	32118	0	1
2018.02.21	12:00:00	1.23336	1.23337	1.23000	1.23204	40039	0	1
2018.02.21	16:00:00	1.23203	1.23356	1.23036	1.23269	47963	0	1
2018.02.21	20:00:00	1.23270	1.23598	1.22810	1.22822	43489	0	1
2018.02.22	00:00:00	1.22819	1.22855	1.22652	1.22790	14142	0	1
2018.02.22	04:00:00	1.22789	1.22836	1.22717	1.22746	10791	0	1
2018.02.22	08:00:00	1.22747	1.22955	1.22595	1.22939	32833	0	1
2018.02.22	12:00:00	1.22937	1.23150	1.22645	1.23132	38603	0	1
2018.02.22	16:00:00	1.23131	1.23521	1.23054	1.23363	40032	0	1
2018.02.22	20:00:00	1.23363	1.23391	1.23194	1.23292	13619	0	1
2018.02.23	00:00:00	1.23292	1.23369	1.23163	1.23249	11190	0	1
2018.02.23	04:00:00	1.23250	1.23262	1.22955	1.23024	12181	0	1
2018.02.23	08:00:00	1.23024	1.23210	1.22798	1.23079	26649	0	1
2018.02.23	12:00:00	1.23079	1.23175	1.22877	1.22978	25424	0	1
2018.02.23	16:00:00	1.22978	1.23183	1.22851	1.23060	29952	0	1
2018.02.23	20:00:00	1.23061	1.23062	1.22884	1.22935	12198	0	1
2018.02.26	00:00:00	1.22930	1.23048	1.22803	1.22976	13631	0	1
2018.02.26	04:00:00	1.22977	1.23280	1.22977	1.23279	11699	0	1
2018.02.26	08:00:00	1.23279	1.23497	1.23154	1.23430	29943	0	1
2018.02.26	12:00:00	1.23426	1.23550	1.23043	1.23047	25062	0	1
2018.02.26	16:00:00	1.23050	1.23174	1.22779	1.23077	37422	0	1
2018.02.26	20:00:00	1.23076	1.23198	1.23021	1.23167	9818	0	1
2018.02.27	00:00:00	1.23167	1.23368	1.23086	1.23358	12820	0	1
2018.02.27	04:00:00	1.23359	1.23426	1.23213	1.23260	9347	0	1
2018.02.27	08:00:00	1.23261	1.23464	1.23199	1.23312	27022	0	1
2018.02.27	12:00:00	1.23312	1.23376	1.22857	1.22876	33884	0	1
2018.02.27	16:00:00	1.22875	1.22988	1.22215	1.22482	56989	0	1
2018.02.27	20:00:00	1.22483	1.22548	1.22257	1.22325	14045	0	1
2018.02.28	00:00:00	1.22325	1.22384	1.22211	1.22297	13118	0	1
2018.02.28	04:00:00	1.22296	1.22337	1.22153	1.22271	11499	0	1
2018.02.28	08:00:00	1.22272	1.22416	1.21986	1.22204	31824	0	1
2018.02.28	12:00:00	1.22203	1.22298	1.22024	1.22183	31615	0	1
2018.02.28	16:00:00	1.22184	1.22282	1.21878	1.22086	39087	0	1
2018.02.28	20:00:00	1.22086	1.22145	1.21923	1.21929	13875	0	1
2018.03.01	00:00:00	1.21924	1.21994	1.21836	1.21915	12249	0	1
2018.03.01	04:00:00	1.21915	1.21984	1.21861	1.21925	8963	0	1
2018.03.01	08:00:00	1.21925	1.22130	1.21800	1.21816	28264	0	1
2018.03.01	12:00:00	1.21815	1.21960	1.21626	1.21873	28463	0	1
2018.03.01	16:00:00	1.21872	1.22221	1.21546	1.22120	53653	0	1
2018.03.01	20:00:00	1.22121	1.22733	1.21866	1.22651	41066	0	1
